name,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
The Lion Féroce,Sarl Vignobles Plaza Tedaldi,2019,14.5,750.0,109,France,Languedoc-Roussillon,Minervois,Red wine,Fruity & Tasty,Served at about 18 ° C with lamb or beef dishes.,"Fruity, tasty wine with hints of blackberries, spices, plums, licorice, sandalwood and fresh herbs.",0.0%,,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/le-lion-féroce-2232401,https://product-cdn.systembolaget.se/productimages/24516817/24516817,Syrah --- Grenache --- Carignan --- Mourvèdre
"Perdeberg Cellar, Reserve Collection",Perdeberg Winery,2019,14.0,750.0,89,South Africa,Western Cape,Coastal Region,Red wine,Fruity & Tasty,Served at 16-18 ° C with grilled dishes of lamb or beef.,"Fruity, tasty wine with hints of cask, plum, blueberry, black pepper, cherry and vanilla.",0.0%,0.0%,66.666666666666666%,75.0%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/perdeberg-cellar-204601,https://product-cdn.systembolaget.se/productimages/24489832/24489832,Cabernet sauvignon --- Malbec --- Shiraz
"Sant'ilia, Chardonnay",Edoardo Miroglio Eood,2019,13.0,750.0,89.0,Bulgaria,Thrace,,White wine,Full-bodied & Tasty,"Served at 10-12 ° C with tasty vegetarian dishes, or with fish and light meat.","Fruity taste with barrel character, hints of yellow apples, browned butter, peach, spices, nuts and orange.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/sant'ilia-218901,https://product-cdn.systembolaget.se/productimages/24513133/24513133,Chardonnay --- Sauvignon blanc
"Offley, 10 Years Old Tawny Porto",Sogrape Vinhos,,20.0,750.0,239.0,Portugal,Douro,Postage,Aperitif & Dessert,Port,"Served at 14-16 ° C for desserts containing nuts and chocolate, or for aged cheeses.","Complex, developed, sweet taste with barrel character, hints of dried dates, hazelnuts, orange peel, chocolate, raisins and cinnamon.",0.0%,75.0%,0.0%,66.666666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/offley-802601,https://product-cdn.systembolaget.se/productimages/24519118/24519118,
Cameleon White Blend,Domaine Bousquet,2020,14.0,3000.0,199.0,Argentina,Cuyo,Mendoza,White wine,Fresh & Fruity,Served at 8-10 ° C with seafood dishes.,"Fruity, youthful taste with hints of pear, peach, green apples, herbs, pineapple and lime.",0.0%,8.333333333333332%,75.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/cameleon-white-blend-251908,https://product-cdn.systembolaget.se/productimages/24502481/24502481,Chardonnay --- Pinot grigio --- Sauvignon blanc
"Cameleon Signature, Cabernet Sauvignon",Domaine Bousquet,2019,14.0,750.0,95.0,Argentina,Cuyo,Mendoza,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb and beef dishes.,"Fruity, nuanced taste with barrel character, hints of black currants, herbs, plums, dark cherries and chocolate.",0.0%,0.0%,75.0%,75.0%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/cameleon-signature-207601,https://product-cdn.systembolaget.se/productimages/24494046/24494046,Cabernet sauvignon
"Castillo Monjardin, Navarra Crianza",Monjardin Castle,2017,14.0,750.0,119.0,Spain,Navarra,,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb and beef dishes.,"Spicy, fruity taste with barrel character, hints of dark cherries, chocolate, black currants, herbs, plums and coffee.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/castillo-monjardin-203101,https://product-cdn.systembolaget.se/productimages/24478615/24478615,Tempranillo --- Cabernet Sauvignon --- Merlot
"Six Hats, Sauvignon Blanc",Piekenierskloof Wine Company,2020,12.5,750.0,79.0,South Africa,Western Cape,,White wine,Fresh & Fruity,"Served at 8-10 ° C as an aperitif, or with seafood dishes.","Fruity, aromatic, very fresh taste with hints of pear, blackcurrant leaves, passion fruit and citrus.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/six-hats-678501,,White Sauvignon
"Rebel, Organic Reserve",Grigori Estates,2020,14.0,750.0,89.0,Australia,South Australia,,Red wine,Fruity & Tasty,"Served at about 18 ° C with grilled dishes of lamb or beef, or with tasty vegetarian dishes.","Fruity, youthful taste with hints of blackberries, wild raspberries, spices, violets and strawberries.",0.0%,0.0%,75.0%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/rebel-683001,https://product-cdn.systembolaget.se/productimages/24500522/24500522,Cabernet sauvignon --- Petit verdot --- Shiraz
"Lievland, Lievland Syrah Mourvèdre Cinsault Grenache",Lievland Estate,2019,14.0,750.0,129.0,South Africa,Western Cape,Coastal Region,Red wine,Fruity & Tasty,"Served at 16-18 ° C with grilled dishes of lamb or beef, or with tasty vegetarian dishes.","Very fruity taste with barrel character, hints of forest raspberries, blackberries, chocolate, herbs, pepper and vanilla.",0.0%,0.0%,75.0%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/lievland-657501,https://product-cdn.systembolaget.se/productimages/24500921/24500921,Syrah --- Grenache --- Mourvèdre --- Cinsault
